Accession	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Protein	Country	Host	Collection_Date
YP_010377011.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	630	complete	MPXVgp012	Nigeria	Homo sapiens	2018-08
YP_010377012.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	150	complete	MPXVgp013	Nigeria	Homo sapiens	2018-08
YP_010377013.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	155	complete	MPXVgp014	Nigeria	Homo sapiens	2018-08
YP_010377014.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	206	complete	MPXVgp015	Nigeria	Homo sapiens	2018-08
YP_010377015.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	316	complete	MPXVgp016	Nigeria	Homo sapiens	2018-08
YP_010377017.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	214	complete	MPXVgp022	Nigeria	Homo sapiens	2018-08
YP_010377018.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	117	complete	MPXVgp023	Nigeria	Homo sapiens	2018-08
YP_010377019.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	177	complete	MPXVgp024	Nigeria	Homo sapiens	2018-08
YP_010377020.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	442	complete	MPXVgp025	Nigeria	Homo sapiens	2018-08
YP_010377021.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	220	complete	MPXVgp026	Nigeria	Homo sapiens	2018-08
YP_010377022.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	284	complete	MPXVgp027	Nigeria	Homo sapiens	2018-08
YP_010377023.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	375	complete	MPXVgp028	Nigeria	Homo sapiens	2018-08
YP_010377025.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	424	complete	MPXVgp030	Nigeria	Homo sapiens	2018-08
YP_010377026.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	276	complete	MPXVgp031	Nigeria	Homo sapiens	2018-08
YP_010377027.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	149	complete	MPXVgp032	Nigeria	Homo sapiens	2018-08
YP_010377028.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	219	complete	MPXVgp033	Nigeria	Homo sapiens	2018-08
YP_010377029.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	151	complete	MPXVgp034	Nigeria	Homo sapiens	2018-08
YP_010377030.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	482	complete	MPXVgp035	Nigeria	Homo sapiens	2018-08
YP_010377031.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	319	complete	MPXVgp036	Nigeria	Homo sapiens	2018-08
YP_010377032.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	318	complete	MPXVgp037	Nigeria	Homo sapiens	2018-08
YP_010377033.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	75	complete	MPXVgp038	Nigeria	Homo sapiens	2018-08
YP_010377034.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	74	complete	MPXVgp039	Nigeria	Homo sapiens	2018-08
YP_010377035.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	64	complete	MPXVgp040	Nigeria	Homo sapiens	2018-08
YP_010377036.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	212	complete	MPXVgp041	Nigeria	Homo sapiens	2018-08
YP_010377037.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	439	complete	MPXVgp042	Nigeria	Homo sapiens	2018-08
YP_010377038.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	354	complete	MPXVgp043	Nigeria	Homo sapiens	2018-08
YP_010377039.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	635	complete	MPXVgp044	Nigeria	Homo sapiens	2018-08
YP_010377040.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	372	complete	MPXVgp045	Nigeria	Homo sapiens	2018-08
YP_010377041.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	73	complete	MPXVgp046	Nigeria	Homo sapiens	2018-08
YP_010377042.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	49	complete	C20.5L	Nigeria	Homo sapiens	2018-08
YP_010377043.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	158	complete	MPXVgp047	Nigeria	Homo sapiens	2018-08
YP_010377044.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	231	complete	MPXVgp048	Nigeria	Homo sapiens	2018-08
YP_010377045.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	101	complete	MPXVgp049	Nigeria	Homo sapiens	2018-08
YP_010377046.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	479	complete	MPXVgp050	Nigeria	Homo sapiens	2018-08
YP_010377047.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	737	complete	MPXVgp051	Nigeria	Homo sapiens	2018-08
YP_010377048.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	153	complete	MPXVgp052	Nigeria	Homo sapiens	2018-08
YP_010377049.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	259	complete	MPXVgp053	Nigeria	Homo sapiens	2018-08
YP_010377051.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	567	complete	MPXVgp054	Nigeria	Homo sapiens	2018-08
YP_010377052.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	166	complete	MPXVgp055	Nigeria	Homo sapiens	2018-08
YP_010377053.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	273	complete	MPXVgp056	Nigeria	Homo sapiens	2018-08
YP_010377054.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	1006	complete	MPXVgp057	Nigeria	Homo sapiens	2018-08
YP_010377055.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	95	complete	MPXVgp058	Nigeria	Homo sapiens	2018-08
YP_010377056.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	129	complete	MPXVgp059	Nigeria	Homo sapiens	2018-08
YP_010377057.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	665	complete	MPXVgp060	Nigeria	Homo sapiens	2018-08
YP_010377058.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	108	complete	MPXVgp061	Nigeria	Homo sapiens	2018-08
YP_010377059.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	312	complete	MPXVgp062	Nigeria	Homo sapiens	2018-08
YP_010377060.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	73	complete	MPXVgp063	Nigeria	Homo sapiens	2018-08
YP_010377061.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	269	complete	MPXVgp064	Nigeria	Homo sapiens	2018-08
YP_010377062.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	771	complete	MPXVgp065	Nigeria	Homo sapiens	2018-08
YP_010377063.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	79	complete	MPXVgp066	Nigeria	Homo sapiens	2018-08
YP_010377064.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	382	complete	MPXVgp067	Nigeria	Homo sapiens	2018-08
YP_010377065.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	423	complete	MPXVgp068	Nigeria	Homo sapiens	2018-08
YP_010377066.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	676	complete	MPXVgp069	Nigeria	Homo sapiens	2018-08
YP_010377067.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	591	complete	MPXVgp070	Nigeria	Homo sapiens	2018-08
YP_010377068.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	111	complete	MPXVgp071	Nigeria	Homo sapiens	2018-08
YP_010377069.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	220	complete	MPXVgp072	Nigeria	Homo sapiens	2018-08
YP_010377070.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	124	complete	MPXVgp073	Nigeria	Homo sapiens	2018-08
YP_010377071.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	434	complete	MPXVgp074	Nigeria	Homo sapiens	2018-08
YP_010377072.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	63	complete	MPXVgp075	Nigeria	Homo sapiens	2018-08
YP_010377073.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	165	complete	MPXVgp076	Nigeria	Homo sapiens	2018-08
YP_010377074.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	371	complete	MPXVgp077	Nigeria	Homo sapiens	2018-08
YP_010377075.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	260	complete	MPXVgp078	Nigeria	Homo sapiens	2018-08
YP_010377076.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	340	complete	MPXVgp079	Nigeria	Homo sapiens	2018-08
YP_010377077.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	250	complete	MPXVgp080	Nigeria	Homo sapiens	2018-08
YP_010377078.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	92	complete	MPXVgp081	Nigeria	Homo sapiens	2018-08
YP_010377079.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	344	complete	MPXVgp082	Nigeria	Homo sapiens	2018-08
YP_010377080.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	251	complete	MPXVgp083	Nigeria	Homo sapiens	2018-08
YP_010377081.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	128	complete	MPXVgp084	Nigeria	Homo sapiens	2018-08
YP_010377082.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	152	complete	MPXVgp085	Nigeria	Homo sapiens	2018-08
YP_010377083.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	177	complete	MPXVgp086	Nigeria	Homo sapiens	2018-08
YP_010377084.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	333	complete	MPXVgp087	Nigeria	Homo sapiens	2018-08
YP_010377085.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	185	complete	MPXVgp088	Nigeria	Homo sapiens	2018-08
YP_010377086.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	133	complete	MPXVgp089	Nigeria	Homo sapiens	2018-08
YP_010377087.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	1286	complete	MPXVgp090	Nigeria	Homo sapiens	2018-08
YP_010377088.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	171	complete	MPXVgp091	Nigeria	Homo sapiens	2018-08
YP_010377089.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	189	complete	MPXVgp092	Nigeria	Homo sapiens	2018-08
YP_010377090.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	324	complete	MPXVgp093	Nigeria	Homo sapiens	2018-08
YP_010377091.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	795	complete	MPXVgp094	Nigeria	Homo sapiens	2018-08
YP_010377092.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	210	complete	MPXVgp095	Nigeria	Homo sapiens	2018-08
YP_010377093.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	314	complete	MPXVgp096	Nigeria	Homo sapiens	2018-08
YP_010377094.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	146	complete	MPXVgp097	Nigeria	Homo sapiens	2018-08
YP_010377095.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	845	complete	MPXVgp098	Nigeria	Homo sapiens	2018-08
YP_010377096.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	146	complete	MPXVgp099	Nigeria	Homo sapiens	2018-08
YP_010377097.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	233	complete	MPXVgp100	Nigeria	Homo sapiens	2018-08
YP_010377098.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	218	complete	MPXVgp101	Nigeria	Homo sapiens	2018-08
YP_010377099.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	785	complete	MPXVgp102	Nigeria	Homo sapiens	2018-08
YP_010377100.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	637	complete	MPXVgp103	Nigeria	Homo sapiens	2018-08
YP_010377101.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	161	complete	MPXVgp104	Nigeria	Homo sapiens	2018-08
YP_010377102.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	304	complete	MPXVgp105	Nigeria	Homo sapiens	2018-08
YP_010377103.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	213	complete	MPXVgp106	Nigeria	Homo sapiens	2018-08
YP_010377104.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	248	complete	MPXVgp107	Nigeria	Homo sapiens	2018-08
YP_010377105.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	631	complete	MPXVgp108	Nigeria	Homo sapiens	2018-08
YP_010377106.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	287	complete	MPXVgp109	Nigeria	Homo sapiens	2018-08
YP_010377107.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	551	complete	MPXVgp110	Nigeria	Homo sapiens	2018-08
YP_010377108.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	150	complete	MPXVgp111	Nigeria	Homo sapiens	2018-08
YP_010377109.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	224	complete	MPXVgp112	Nigeria	Homo sapiens	2018-08
YP_010377110.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	77	complete	MPXVgp113	Nigeria	Homo sapiens	2018-08
YP_010377111.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	644	complete	MPXVgp114	Nigeria	Homo sapiens	2018-08
YP_010377112.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	281	complete	MPXVgp115	Nigeria	Homo sapiens	2018-08
YP_010377113.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	161	complete	MPXVgp116	Nigeria	Homo sapiens	2018-08
YP_010377114.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	372	complete	MPXVgp117	Nigeria	Homo sapiens	2018-08
YP_010377115.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	710	complete	MPXVgp118	Nigeria	Homo sapiens	2018-08
YP_010377116.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	292	complete	MPXVgp119	Nigeria	Homo sapiens	2018-08
YP_010377117.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	100	complete	MPXVgp120	Nigeria	Homo sapiens	2018-08
YP_010377118.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	891	complete	MPXVgp121	Nigeria	Homo sapiens	2018-08
YP_010377119.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	318	complete	MPXVgp122	Nigeria	Homo sapiens	2018-08
YP_010377120.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	190	complete	MPXVgp123	Nigeria	Homo sapiens	2018-08
YP_010377121.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	70	complete	MPXVgp124	Nigeria	Homo sapiens	2018-08
YP_010377122.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	90	complete	MPXVgp125	Nigeria	Homo sapiens	2018-08
YP_010377123.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	53	complete	A15.5L	Nigeria	Homo sapiens	2018-08
YP_010377124.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	94	complete	MPXVgp126	Nigeria	Homo sapiens	2018-08
YP_010377125.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	377	complete	MPXVgp127	Nigeria	Homo sapiens	2018-08
YP_010377126.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	204	complete	MPXVgp128	Nigeria	Homo sapiens	2018-08
YP_010377127.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	492	complete	MPXVgp129	Nigeria	Homo sapiens	2018-08
YP_010377128.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	77	complete	MPXVgp130	Nigeria	Homo sapiens	2018-08
YP_010377129.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	115	complete	MPXVgp131	Nigeria	Homo sapiens	2018-08
YP_010377130.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	426	complete	MPXVgp132	Nigeria	Homo sapiens	2018-08
YP_010377131.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	187	complete	MPXVgp133	Nigeria	Homo sapiens	2018-08
YP_010377132.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	382	complete	MPXVgp134	Nigeria	Homo sapiens	2018-08
YP_010377133.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	1164	complete	MPXVgp135	Nigeria	Homo sapiens	2018-08
YP_010377134.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	509	complete	MPXVgp138	Nigeria	Homo sapiens	2018-08
YP_010377135.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	110	complete	MPXVgp139	Nigeria	Homo sapiens	2018-08
YP_010377136.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	146	complete	MPXVgp140	Nigeria	Homo sapiens	2018-08
YP_010377137.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	305	complete	MPXVgp141	Nigeria	Homo sapiens	2018-08
YP_010377138.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	78	complete	MPXVgp142	Nigeria	Homo sapiens	2018-08
YP_010377139.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	42	complete	A32.5L	Nigeria	Homo sapiens	2018-08
YP_010377140.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	145	complete	MPXVgp143	Nigeria	Homo sapiens	2018-08
YP_010377141.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	300	complete	MPXVgp144	Nigeria	Homo sapiens	2018-08
YP_010377142.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	181	complete	MPXVgp145	Nigeria	Homo sapiens	2018-08
YP_010377143.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	168	complete	MPXVgp146	Nigeria	Homo sapiens	2018-08
YP_010377144.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	176	complete	MPXVgp147	Nigeria	Homo sapiens	2018-08
YP_010377145.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	228	complete	MPXVgp148	Nigeria	Homo sapiens	2018-08
YP_010377146.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	268	complete	MPXVgp149	Nigeria	Homo sapiens	2018-08
YP_010377147.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	277	complete	MPXVgp150	Nigeria	Homo sapiens	2018-08
YP_010377148.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	221	complete	MPXVgp151	Nigeria	Homo sapiens	2018-08
YP_010377149.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	133	complete	MPXVgp152	Nigeria	Homo sapiens	2018-08
YP_010377150.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	196	complete	MPXVgp153	Nigeria	Homo sapiens	2018-08
YP_010377151.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	74	complete	MPXVgp154	Nigeria	Homo sapiens	2018-08
YP_010377152.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	346	complete	MPXVgp158	Nigeria	Homo sapiens	2018-08
YP_010377153.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	125	complete	MPXVgp156	Nigeria	Homo sapiens	2018-08
YP_010377154.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	240	complete	MPXVgp157	Nigeria	Homo sapiens	2018-08
YP_010377155.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	204	complete	MPXVgp159	Nigeria	Homo sapiens	2018-08
YP_010377156.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	559	complete	MPXVgp160	Nigeria	Homo sapiens	2018-08
YP_010377157.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	334	complete	MPXVgp161	Nigeria	Homo sapiens	2018-08
YP_010377158.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	313	complete	MPXVgp163	Nigeria	Homo sapiens	2018-08
YP_010377159.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	303	complete	MPXVgp164	Nigeria	Homo sapiens	2018-08
YP_010377160.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	503	complete	MPXVgp165	Nigeria	Homo sapiens	2018-08
YP_010377161.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	561	complete	MPXVgp166	Nigeria	Homo sapiens	2018-08
YP_010377162.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	317	complete	MPXVgp167	Nigeria	Homo sapiens	2018-08
YP_010377163.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	168	complete	MPXVgp168	Nigeria	Homo sapiens	2018-08
YP_010377164.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	182	complete	MPXVgp169	Nigeria	Homo sapiens	2018-08
YP_010377165.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	267	complete	MPXVgp170	Nigeria	Homo sapiens	2018-08
YP_010377166.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	221	complete	MPXVgp171	Nigeria	Homo sapiens	2018-08
YP_010377167.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	100	complete	Hypothetical protein (Cop-B11R)	Nigeria	Homo sapiens	2018-08
YP_010377168.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	282	complete	MPXVgp172	Nigeria	Homo sapiens	2018-08
YP_010377169.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	344	complete	MPXVgp173	Nigeria	Homo sapiens	2018-08
YP_010377170.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	149	complete	MPXVgp174	Nigeria	Homo sapiens	2018-08
YP_010377172.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	351	complete	MPXVgp177	Nigeria	Homo sapiens	2018-08
YP_010377173.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	787	complete	MPXVgp178	Nigeria	Homo sapiens	2018-08
YP_010377174.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	357	complete	MPXVgp180	Nigeria	Homo sapiens	2018-08
YP_010377175.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	190	complete	MPXVgp181	Nigeria	Homo sapiens	2018-08
YP_010377176.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	1880	complete	MPXVgp182	Nigeria	Homo sapiens	2018-08
YP_010377177.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	153	complete	MPXVgp185	Nigeria	Homo sapiens	2018-08
YP_010377179.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	437	complete	MPXVgp188	Nigeria	Homo sapiens	2018-08
YP_010377180.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	588	complete	MPXVgp189	Nigeria	Homo sapiens	2018-08
YP_010377181.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	349	complete	MPXVgp190	Nigeria	Homo sapiens	2018-08
YP_010377182.1	Monkeypox virus	Orthopoxvirus	Poxviridae	dsDNA	246	complete	MPXVgp191	Nigeria	Homo sapiens	2018-08
YP_010085449.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	250	complete	chemokine binding protein	Georgia	Homo sapiens	2013
YP_010085450.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	348	complete	TNF receptor	Georgia	Homo sapiens	2013
YP_010085451.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	589	complete	ankyrin-containing protein	Georgia	Homo sapiens	2013
YP_010085452.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	44	complete	hypothetical protein	Georgia	Homo sapiens	2013
YP_010085453.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	671	complete	ankyrin-containing protein	Georgia	Homo sapiens	2013
YP_010085454.1	Akhmeta virus	Orthopoxvirus	Poxviridae	dsDNA	153	complete	ankyrin-containing protein	Georgia	Homo sapiens	2013
